time,chunk_id,stt_latency_ms,tt_latency_ms,tts_latency_ms,total_latency_ms,transcription,translation
2025-06-15 18:07:09,818 - 23,406.10,936.31,8308.01,41107.49, jeg har kendt mange fisk i mit liv men jeg har, I've known a lot of fish in my life but I have
2025-06-15 18:07:12,765 - 38,272.91,908.51,2945.25,41004.98, kun elsket i den første var mere så, only loved in the first was more so
2025-06-15 18:07:15,146 - 53,136.58,702.81,2380.59,40336.91, var mere som en videnskabelig, was more like a scientific
2025-06-15 18:07:20,922 - 68,87.94,736.18,5775.56,43056.35, var en smuk fisk med smagfulde konsistens og kødfuld, was a beautiful fish with tasteful consistency and meaty
2025-06-15 18:07:23,857 - 85,272.98,895.32,2934.53,42527.82, kød fuldhed en bestseller på menyen, meat fullness a bestseller on the meny
2025-06-15 18:07:25,963 - 100,268.82,709.70,2106.26,41574.00, fisk endnu bedre var, fish even better was
2025-06-15 18:07:29,120 - 115,86.79,653.92,3156.95,41680.43, det at den var opdrættet efter de højeste, the fact that it was reared after the highest
2025-06-15 18:07:33,007 - 131,115.86,757.99,3886.20,42311.96, standarder for bæredygtighed så man kunne have god, sustainability standards so that you could have good
2025-06-15 18:07:35,040 - 146,148.20,626.27,2032.58,41292.29, samvittighed ved at sælge dem, conscience by selling them
2025-06-15 18:07:38,678 - 162,252.57,711.46,3637.79,41664.56, havde et forhold til denne skønhed i flere måneder ind, had a relationship with this beauty for several months in
2025-06-15 18:07:43,889 - 177,85.33,847.52,5211.09,43827.33, indtil en dag direktøren for virksomheden ringede og, until one day the director of the company called and
2025-06-15 18:07:46,534 - 194,291.74,791.30,2644.36,43007.38, sport og med vil tale ved et arrangement om, sport and will speak at an event about
2025-06-15 18:07:48,700 - 210,136.50,605.71,2164.78,41906.36, virksomhedens bæredygtighed, company sustainability
2025-06-15 18:07:52,063 - 229,303.96,661.05,3363.25,41391.89, absolut sager her var et firma der forsøgte, absolute cases here was a company that tried
2025-06-15 18:07:55,807 - 244,179.55,888.18,3743.08,42087.86, de forsøgte at løse det der er blevet et ufatteligt, they tried to solve what has become an unbelievable
2025-06-15 18:07:58,344 - 261,185.43,873.59,2536.71,41170.61, problem for vores kokke hvordan holder, problem for our chefs how to keep
2025-06-15 18:08:00,384 - 278,254.40,776.48,2039.65,39752.67, vi fisk på vores meny i de, we fish on our meny in the
2025-06-15 18:08:03,629 - 298,299.57,888.99,3244.79,38947.99, sidste 50 år har vi fisket i havene som vi, last 50 years we have been fishing in the oceans as we
2025-06-15 18:08:06,600 - 313,192.26,856.06,2970.11,38872.67, rødder skove det er svært at, roots forests it is difficult to
2025-06-15 18:08:09,599 - 330,300.32,566.44,2999.45,38415.12, overdrive ødelæggelsen 90, exaggerate the destruction 90
2025-06-15 18:08:11,464 - 345,154.59,650.03,1863.63,37224.50, procent af de store fisk dem vi, percent of the big fish we
2025-06-15 18:08:13,921 - 364,158.44,613.71,2457.10,35812.02, elsker tuen hellefisk, Love the tower Greenland halibut
2025-06-15 18:08:16,261 - 379,163.50,666.17,2339.77,35104.61, laks sværfisk er, salmon swordfish is
2025-06-15 18:08:18,241 - 395,155.97,603.37,1979.42,33835.85, udryddet der var intet, eradicated there was nothing
2025-06-15 18:08:20,736 - 415,348.83,689.29,2495.33,32281.97, tilbage så på godt og ondt vel, looking at good and evil well
2025-06-15 18:08:22,518 - 430,168.45,528.06,1781.53,31008.43, akvakultur, aquaculture
2025-06-15 18:08:24,452 - 447,281.38,564.02,1932.77,29499.79, opdræt af fisk var en del af vores fremtid, fish farming was part of our future
2025-06-15 18:08:26,415 - 465,299.19,670.52,1963.00,27809.86, der er mange argumenter imod det, there are many arguments against it
2025-06-15 18:08:28,654 - 481,342.33,619.45,2238.79,26799.30, fiskebro forurener i, fishing bridge pollute in
2025-06-15 18:08:31,179 - 498,145.06,698.83,2524.84,25870.60, hvert fald de fleste af dem og de er, at least most of them and they are
2025-06-15 18:08:33,983 - 513,162.54,688.89,2803.49,25619.80, en effektiv tartu som et, an effective tartu as a
2025-06-15 18:08:37,527 - 530,147.56,660.21,3543.31,25711.87, eksempel en stor ulempe er at, example a major disadvantage is that
2025-06-15 18:08:39,280 - 545,132.96,552.07,1752.60,24420.28, den har et, it has a
2025-06-15 18:08:41,793 - 565,340.06,527.53,2511.31,22875.38, udnyttelser på 15 til, uses of 15 to
2025-06-15 18:08:44,860 - 580,174.20,700.35,3066.93,22896.83, begge betyder at det kræver 15 pund vild, both mean that it requires 15 pounds wild
2025-06-15 18:08:47,268 - 596,156.44,714.89,2407.47,22048.19, fisk for at få et pund opdrættet, fish to get one pound farmed
2025-06-15 18:08:49,649 - 611,168.14,660.03,2379.84,21389.96, tul det er ikke særligt bæredygtigt, tul it is not very sustainable
2025-06-15 18:08:52,072 - 626,161.15,679.22,2423.26,20764.69, og smager heller ikke særlig godt så, and also does not taste very good so
2025-06-15 18:08:54,913 - 641,137.31,801.29,2840.07,20557.71, her var endelig et firma der forsøgte at gøre det, here was finally a company that tried to do it
2025-06-15 18:08:58,031 - 658,158.57,896.32,3117.47,20220.95, gør det rigtigt og jeg vil støtte dem dagen, doing it right and I will support them the day
2025-06-15 18:09:00,862 - 673,143.24,843.29,2830.47,20001.56, før arrangementet ringede jeg til firmaets, before the event I called the company's
2025-06-15 18:09:03,467 - 691,334.66,824.96,2605.31,18940.93, pr chef læres kalde ham dorn, per boss taught call him dorn
2025-06-15 18:09:05,348 - 707,283.45,682.40,1880.21,17577.92, øøhhm, uhhm
2025-06-15 18:09:07,153 - 722,461.25,593.74,1803.73,16337.25, på plads i er kendt for at, in place i is known to
2025-06-15 18:09:10,747 - 737,176.42,755.97,3594.49,16889.35, opdrætte så langt ude på havet er det ikke for, breed so far out at sea it is not for
2025-06-15 18:09:13,319 - 752,155.96,948.26,2571.48,16409.30, det ikke forurener det er rigtigt sagde, it's not polluting it's right said
2025-06-15 18:09:15,448 - 768,223.76,953.95,2128.40,15296.32, han vi er så langt ude at, he's so fucked up that
2025-06-15 18:09:16,980 - 784,149.42,718.71,1531.24,13579.18, affaldet fra års fisk, the waste from years of fish
2025-06-15 18:09:18,337 - 0,333.19,655.15,1357.48,14534.21, øøhhm, uhhm
